BrandName,BrandCode,pH,EC,TDS,Ca,Mg,Hard,HCO3,Cl,Na,F,K,NO3,SO4,As,Potability
CHENAB,BWA-54,6.03,450,248,36,12,140,30,96,31,0.00,0.8,0.2,35,0.9,0
Royal Pure Life,BWA-55,6.65,251,138,8,5,40,40,31,38,0.08,2.3,1.5,32,1,0
Pure Nature,BWA-56,6.52,80,44,8,4,35,10,15,4,0.15,0.2,0.0,8,24,0
NEO,BWA-57,7.06,270,149,28,2,80,50,41,26,0.15,0.5,2.5,20,2.0,1
Culligan,BWA-58,6.76,266,146,44,12.378,110,50,64,9,0.14,6.0,0.0,25.989,2.0,1
Blue Plus,BWA-59,6.5,561,309,40,13.16,100,50,120,78,0.16,5.4,10,21,3.05,0
YES,BWA-60,6.96,269,148,28,12.378,70,50,42,28,0.19,0.4,1.6,19,2.0,1
Vitella,BWA-61,7.12,565,311,52,2,140,100,78,70,0.30,6.4,1.2,55,3.05,0
Aqua Best,BWA-62,6.56,312,172,75,-33,50,90,75,40,0.15,1.1,5.9,11,2.0,1
PERSIAWater,BWA-63,7.05,279,153,36,2,100,50,45,20,0.20,1.2,0.8,24,0.3,1
AM 2 PM,BWA-64,6.5,264,145,70,-28,60,50,70,19,0.16,1.5,0.2,10,0.5,1
Crystal Maya,BWA-65,7.12,273,150,20,5,70,40,72,50,0.02,1.1,1.3,25.989,2.0,1
Dropice,BWA-66,6.72,309,170,48,12.378,120,20,48,9,0.28,0.0,0.0,60,2.0,1
UF Pure Edge,BWA-67,6.82,202,111,45,-15,50,40,45,36,0.05,1.0,0.4,20,2.0,1
Water Right,BWA-68,7.18,315,173,32,12.378,80,50,45,33,0.40,0.8,3.2,27,2.0,1
One PureDrinkingWater,BWA-69,6.55,439,241,110,-62,20,50,90,14,0.00,0.4,0.5,35,2.0,1
Sunlay,BWA-70,6.91,416,229,16,5,60,65,48,65,0.30,2.2,0.2,34,3.05,0
Al-UMER,BWA-71,6.5,399,219,16,10,80,50,96,48,0.18,4.9,0.6,5,2.0,1
Aqua King,BWA-72,6.95,426,234,16,7,70,70,75,64,0.28,2.4,0.4,35,0.3,0
Water Plus,BWA-73,6.65,278,153,16,7,70,40,60,36,0.16,0.4,0.5,16,0.4,1
Aqua Star,BWA-74,6.08,286,157,20,10,90,50,65,27,0.10,1.5,0.3,32.14,0.5,0
Active Plus,BWA-75,6.5,426,234,20,5,70,50,94,50,0.15,7.1,0.8,25,0.2,1
JEL,BWA-76,6.95,228,125,12,7,60,30,45,24,0.28,0.4,1.9,18,2.0,1
Elayn Plus,BWA-77,7.65,586,322,52,7,160,170,55,60,0.30,3.5,0.6,60,23,0
National,BWA-78,7.05,295,162,28,5,90,50,60,23,0.15,0.4,0.8,12,1,1
Gourmet,BWA-79,6.98,388,213,40,10,140,60,80,22,0.18,0.3,0.5,27,2.0,1
KaraKorumFlow,BWA-80,6.79,260,143,12,15,90,50,30,21,0.18,0.2,0.0,37,0.2,1
Pine�o,BWA-81,7.35,378,208,48,7,150,65,70,22,0.19,1.0,0.0,29,1,1
OSLO,BWA-82,6.96,328,180,20,7,80,50,60,35,0.28,3.1,0.4,28,2.0,1
Icelay,BWA-83,6.63,360,198,12,17,100,50,80,36,0.16,0.8,0.1,20,0.3,1
Vey,BWA-84,6.65,307,169,32,12,130,45,60,13,0.12,0.0,0.0,31,2.0,1
New Buxton,BWA-85,6.42,254,140,24,7,100,30,48,7,0.29,7,0.1,28,2.0,1
CrystalSpring,BWA-86,6.85,280,154,16,12.378,90,40,45,24,0.38,24,0.3,28,2.0,1
Al-Zaid,BWA-87,6.62,392,216,28,17,120,40,48,33,0.40,33,0.5,80,0.2,1
Droplet,BWA-88,6.60,368,202,36,27,160,40,80,12,0.19,12,0.2,34,0.3,1
MAA JEE,BWA-89,6.85,344,189,20,12,110,25,70,27,0.19,27,3.3,34,0.3,1
HandsomePure,BWA-90,6.5,299,164,20,7,70,50,66,34,0.14,6.0,1.6,25.989,0.2,1
SK,BWA-91,6.5,237,130,24,10,90,40,35,15,0.12,0.0,0.7,26,2.0,1
Needs,BWA-92,7.28,316,174,16,12,100,80,45,28,0.40,0.7,0.0,26,2.0,1
Bake Master,BWA-93,7.20,312,172,20,2,130,50,45,13,0.28,0.8,0.0,41,0.3,1
Sip Urban,BWA-94,7.02,253,139,20,5,90,60,45,18,0.12,0.2,0.0,15,0.4,1
Masafi,BWA-95,6.68,403,222,48,45,190,30,115,7,0.10,0.0,0.0,20,0.3,1
Isberg,BWA-96,7.32,323,178,28,5,100,90,60,31,0.20,1.2,0.0,25.989,0.2,1
DJOUR,BWA-97,7.22,371,204,2,12.378,120,70,60,30,0.09,0.2,0.0,31,0.5,1
Aqua Natural,BWA-98,7.20,341,188,32,15,150,170,12,17,0.30,4.5,0.1,25.989,0.3,1
Aqua Royals,BWA-99,6.55,371,204,48,24,170,50,105,9,0.10,0.5,0.0,25.989,0.2,1
DazzlingWater,BWA-100,6.58,360,198,36,29,120,70,55,26,0.20,0.9,1.2,22,0.4,1
Al-Shalal,BWA-101,7.45,339,186,28,34,140,160,20,21,0.30,4.8,0.0,6,0.3,1
Aqua Sea,BWA-102,7.05,223,123,20,7,80,60,20,14,0.14,0.0,0.0,24,0.2,1
Al-Haider,BWA-103,7.72,382,210,28,12,120,180,14,34,0.20,2.7,0.0,25.989,0.3,1
Pak Nest,BWA-104,7.35,295,162,28,5,90,70,35,17,0.16,0.0,0.0,32,0.4,1
PopularH2OPE,BWA-105,7.14,351,193,32,19,160,40,98,8,0.14,3.0,0.0,25.989,0.2,1
Drinkley,BWA-106,7.30,302,174,34,11,130,30,57,9,0.211,1.186,0.947,45,1,1
Cristalene,BWA-107,7.20,258,142,42,1,110,20,77,7,0.211,0.4,0.947,2,1,1
Amfahh,BWA-108,7.10,256,142,36,2,100,30,67,10,0.211,1.186,0.947,9,0.8,1
Erie Water,BWA-109,7.00,321,176,44,5,130,30,82,9,0.211,1.186,0.947,18,0.9,1
Jami Water,BWA-110,7.00,335,184,20,10,90,90,38,33,0.211,1.186,0.947,29,0.8,1
Aqua One,BWA-111,6.90,314,175,36,10,130,30,65,10,0.211,1.186,0.947,36,0.8,1
Rahat Water,BWA-112,6.90,335,185,28,10,110,50,53,30,0.211,1.186,0.947,34,0.6,1
Nestle,BWA-113,6.90,358,202,44,5,130,40,77,12,0.211,9,0.947,31,0.6,1
Aqua Gen,BWA-114,6.80,304,174,32,10,120,50,60,18,0.211,0.63,0.144,23,0.5,1
Sufi Water,BWA-115,6.70,339,194,48,7,150,30,84,9,0.211,0.3,0.947,27,0.8,1
Aqua Safe,BWA-116,6.90,347,190,16,19,120,90,33,25,0.211,0.1,0.947,42,4,1
Besal,BWA-117,7.00,278,164,28,10,110,50,48,17,0.211,1.186,0.947,31,1,1
Glacial,BWA-118,7.10,208,116,4,15,70,10,24,11,0.211,1.186,0.947,56,1,1
Pure FLO,BWA-119,7.00,261,163,4,27,120,20,7,7,0.211,1.186,0.947,106,1,1
PunjabWater,BWA-120,6.70,266,149,36,5,110,30,62,10,0.211,1.186,0.23,17,0.6,1
DOCE Water,BWA-121,6.60,381,227,44,5,130,80,79,30,0.211,5.3,0.947,16,0.8,1
Aqua Life,BWA-122,6.90,267,154,25,2,70,60,41,34,0.211,0.1,0.947,16,0.9,1
Blu Water,BWA-123,6.70,303,171,32,10,120,20,67,17,0.211,1.5,0.947,32,0.8,1
Water Mart,BWA-124,6.80,270,149,36,7,120,100,14,6,0.211,1.9,0.057,24,0.8,1
Natural Cool,BWA-125,6.80,282,173,32,10,120,20,72,12,0.211,2.9,0.947,32,0.7,1
AquaticFresh,BWZ-01,8.09,436,240,28,27,180,120,48,18,0.211,1.5,2.18,27,2.0,1
Oxygenated,BWZ-02,7.90,483,266,32,24,180,96,48,10,0.211,0.8,3.04,27,2.0,1
Aqua PuraSmart,BWZ-03,7.12,417,229,44,19,190,60,82,6,0.211,0.2,0.16,23,2.0,1
Top Up,BWZ-04,8.15,474,261,28,29,190,140,26,19,0.05,1.7,4.95,39,0.3,1
AB-e-Khyber,BWZ-05,8.34,308,169,22,19,130,100,14,13,0.211,1.1,3.85,28,0.2,1
Aqua Splash,BWZ,6.985,7.24,326,179,28,15,130,50,60,15,1.186,0.7,4.29,15,1
Aqua Green,BWZ-07,7.10,316,174,20,12,100,50,48,28,0.211,0.3,2.18,34,0.2,1
Deosai,BWZ-08,7.18,481,265,36,12,140,70,72,36,0.211,0.5,3.56,31,2.0,1
WaterEmpire,BWZ-09,7.80,203,112,20,7,80,50,24,11,0.211,0.5,0.79,17,2.0,1
